                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8763,                  4.649,                 1.2389,                0.02857,                0.01174,                0.01652,                0.00426,                 2.1428,                 4.2586,                 1.0678,                 0.0973,                 0.0003,                 0.0003
                      2,                 2.2752,                 4.1181,                  1.145,                0.00244,                0.02408,                0.00236,                0.00054,                 3.4898,                 4.2254,                 1.6607,               0.093693,             0.00069307,             0.00069307
                      3,                  2.406,                 2.9096,                  1.186,                0.01077,                0.09444,                0.03287,                0.01113,                 2.6417,                 3.2537,                 1.3062,               0.090078,              0.0010782,              0.0010782
                      4,                 2.3365,                  2.363,                 1.1737,                0.08148,                0.03291,                0.02759,                0.00995,                 2.8189,                 2.8492,                 1.5427,               0.086455,              0.0014555,              0.0014555
                      5,                 2.3391,                 2.2316,                 1.1979,                0.37098,                0.03318,                0.04605,                 0.0173,                 2.8322,                 3.3111,                  1.714,               0.082825,              0.0018248,              0.0018248
                      6,                 2.1819,                 2.0297,                 1.1595,                0.05762,                 0.1205,                0.04195,                0.01675,                 2.5182,                 7.1985,                 1.7769,               0.079186,              0.0021861,              0.0021861
                      7,                 2.0089,                 1.9874,                 1.1326,                0.03945,                0.14406,                0.03386,                0.01266,                 2.4365,                 11.301,                 1.9095,                0.07554,              0.0025396,              0.0025396
                      8,                 2.2716,                 2.1416,                 1.1649,                0.02296,                0.07864,                0.01513,                0.00594,                 2.7171,                 12.745,                 2.5188,               0.071885,              0.0028852,              0.0028852
                      9,                 2.2319,                 1.9989,                 1.1879,                0.03343,                0.08943,                0.02121,                0.00806,                 2.7096,                 11.162,                 3.0648,               0.068223,              0.0032228,              0.0032228
                     10,                 2.1058,                 1.9031,                   1.16,                0.03198,                0.02531,                0.01652,                0.00651,                 3.1768,                    inf,                 3.6834,               0.064553,              0.0035525,              0.0035525
                     11,                 2.1783,                 1.9415,                 1.1793,                0.00374,                0.01152,                0.00201,                0.00061,                 3.8922,                    inf,                 2.9162,               0.060874,              0.0038743,              0.0038743
                     12,                 2.1756,                 2.0074,                 1.1935,                 0.0212,                0.05602,                 0.0133,                 0.0045,                 3.1244,                    inf,                 2.1022,               0.057188,              0.0041882,              0.0041882
                     13,                 2.2437,                 1.8308,                 1.1653,                0.14706,                0.04062,                0.02262,                0.00904,                 2.9322,                    inf,                  1.648,               0.053494,              0.0044941,              0.0044941
                     14,                 2.2054,                 1.8315,                 1.1657,                 0.0503,                0.05476,                0.02728,                0.01079,                 2.6034,                 13.532,                  1.558,               0.049792,              0.0047922,              0.0047922
                     15,                 2.2322,                 1.8993,                 1.2088,                0.06117,                0.10226,                0.04818,                0.02103,                 2.5769,                 3.5075,                 1.3969,               0.046082,              0.0050823,              0.0050823
                     16,                 2.1128,                 1.8311,                 1.1695,                0.05461,                0.06457,                 0.0309,                0.01089,                 2.7766,                 6.9209,                 1.6386,               0.042364,              0.0053644,              0.0053644
                     17,                 2.1891,                 1.8713,                 1.2212,                 0.0456,                0.09736,                0.04213,                0.01847,                 2.6394,                 9.2957,                 1.6444,               0.038639,              0.0056387,              0.0056387
                     18,                 2.2056,                  1.817,                 1.1587,                0.17786,                0.09996,                0.05667,                0.02317,                 2.4182,                 5.1377,                  1.431,               0.034905,              0.0059051,              0.0059051
                     19,                 2.1343,                 1.7932,                 1.1588,                0.29895,                0.09909,                0.05815,                0.02472,                  2.372,                  4.853,                 1.3376,               0.031163,              0.0061635,              0.0061635
                     20,                 2.0793,                 1.7216,                 1.1581,                0.18436,                0.12095,                0.06895,                0.02931,                 2.3424,                 4.0251,                 1.3209,               0.027414,               0.006414,               0.006414
                     21,                 2.2666,                 1.7821,                 1.1272,                0.31556,                0.07808,                0.07307,                0.03195,                  2.471,                 2.8264,                 1.4318,               0.023657,              0.0066566,              0.0066566
                     22,                 2.3386,                 1.8667,                 1.1913,                0.07401,                0.10436,                0.06992,                0.02866,                 2.4585,                 2.7003,                 1.4773,               0.019891,              0.0068913,              0.0068913
                     23,                  2.392,                 1.8409,                 1.2366,                0.08786,                0.11591,                0.07659,                0.03451,                 2.3853,                 2.6447,                   1.43,               0.016118,               0.007118,               0.007118
                     24,                 2.1987,                 1.7479,                 1.1934,                0.21434,                0.17351,                0.09802,                0.04345,                 2.3303,                 2.6178,                 1.3822,               0.012337,              0.0073369,              0.0073369
                     25,                 2.2227,                 1.7276,                 1.1482,                0.25411,                0.17792,                0.10383,                0.04205,                 2.3834,                 2.5013,                 1.3754,              0.0085478,              0.0075478,              0.0075478
                     26,                 2.1164,                  1.751,                 1.1717,                0.23049,                0.20423,                0.10714,                0.04428,                 2.3286,                 2.3337,                 1.3482,               0.007525,               0.007525,               0.007525
                     27,                 2.1582,                  1.769,                 1.1924,                 0.1189,                0.21094,                0.10076,                0.04353,                 2.2809,                 2.4015,                 1.3001,               0.007525,               0.007525,               0.007525
                     28,                 2.0283,                 1.6347,                 1.1331,                0.09538,                0.18456,                0.08362,                0.03551,                 2.3988,                 2.7344,                 1.3576,               0.007426,               0.007426,               0.007426
                     29,                 2.1349,                 1.7163,                 1.1464,                0.13274,                0.17191,                0.09862,                0.04268,                 2.2889,                 2.5057,                 1.3273,               0.007327,               0.007327,               0.007327
                     30,                 2.1353,                 1.7076,                 1.1272,                0.11173,                0.17215,                0.11616,                0.05319,                 2.1514,                 2.2834,                 1.2712,               0.007228,               0.007228,               0.007228
                     31,                 1.9563,                 1.5725,                 1.1401,                0.11633,                0.16877,                 0.1199,                0.05832,                 2.0424,                 2.0084,                 1.2148,               0.007129,               0.007129,               0.007129
                     32,                 2.0728,                 1.6754,                 1.1581,                0.24456,                0.17199,                 0.1152,                0.05707,                 2.0873,                 1.9052,                 1.1949,                0.00703,                0.00703,                0.00703
                     33,                 2.1256,                 1.6666,                 1.1264,                0.26455,                0.16538,                0.10475,                0.04926,                 2.1369,                 2.0624,                 1.2294,               0.006931,               0.006931,               0.006931
                     34,                 2.0212,                 1.6522,                 1.1344,                0.11789,                0.18832,                0.10108,                0.04537,                 2.1162,                 2.1325,                 1.2538,               0.006832,               0.006832,               0.006832
                     35,                 1.9225,                 1.6108,                 1.1218,                0.59358,                0.13375,                0.11285,                0.05075,                 2.0727,                 1.8641,                  1.223,               0.006733,               0.006733,               0.006733
                     36,                 1.9462,                 1.5531,                 1.0983,                0.20913,                0.23685,                0.14917,                0.07125,                   2.02,                 1.7376,                  1.147,               0.006634,               0.006634,               0.006634
                     37,                 1.9915,                 1.5786,                 1.1038,                0.59529,                0.15727,                0.15138,                0.07274,                 2.0332,                 1.7387,                 1.1379,               0.006535,               0.006535,               0.006535
                     38,                 1.9108,                 1.5332,                 1.0973,                0.60285,                0.15338,                0.14874,                0.07352,                 2.0058,                 1.7523,                 1.1533,               0.006436,               0.006436,               0.006436
                     39,                 1.8128,                 1.4383,                 1.0989,                0.59544,                0.16584,                0.16424,                0.07848,                 1.9798,                 1.7239,                 1.1484,               0.006337,               0.006337,               0.006337
                     40,                 1.9275,                 1.5589,                 1.1536,                0.49745,                0.18462,                0.13996,                0.06614,                 2.0984,                 1.7441,                 1.1453,               0.006238,               0.006238,               0.006238
                     41,                 1.9383,                  1.519,                 1.1053,                0.50487,                0.17159,                0.13562,                0.06735,                 2.1867,                   1.77,                 1.1559,               0.006139,               0.006139,               0.006139
                     42,                 2.0276,                  1.554,                 1.1113,                0.53142,                 0.1681,                0.14767,                0.07604,                 2.1168,                  1.712,                 1.1366,                0.00604,                0.00604,                0.00604
                     43,                  1.938,                 1.4949,                 1.0812,                0.46282,                0.18411,                0.15973,                0.08971,                 2.0301,                 1.6931,                 1.1244,               0.005941,               0.005941,               0.005941
                     44,                 1.9726,                 1.4753,                 1.1054,                 0.5496,                0.16175,                0.16141,                0.08749,                 2.0175,                 1.6456,                 1.1108,               0.005842,               0.005842,               0.005842
                     45,                 1.8586,                 1.5224,                 1.1056,                0.36458,                0.15215,                0.13286,                0.06845,                 2.1078,                 1.7092,                 1.1226,               0.005743,               0.005743,               0.005743
                     46,                 1.8488,                 1.4992,                 1.1013,                 0.4073,                0.15849,                0.14648,                0.07781,                 2.0476,                 1.6079,                 1.0878,               0.005644,               0.005644,               0.005644
                     47,                 1.8096,                 1.4524,                 1.0676,                0.28382,                0.19399,                0.16317,                0.08859,                 1.9477,                 1.5583,                 1.0617,               0.005545,               0.005545,               0.005545
                     48,                 1.8835,                 1.4573,                 1.0726,                0.29434,                 0.1913,                 0.1563,                0.08253,                 2.0528,                 1.6025,                 1.0904,               0.005446,               0.005446,               0.005446
                     49,                 1.8678,                 1.4765,                 1.0644,                  0.261,                0.20712,                0.16237,                0.08731,                 1.9548,                 1.5706,                 1.0757,               0.005347,               0.005347,               0.005347
                     50,                 1.8346,                 1.4852,                 1.0727,                0.15245,                0.26693,                0.18133,                0.09567,                 1.8446,                 1.5207,                 1.0522,               0.005248,               0.005248,               0.005248
                     51,                 1.9129,                 1.4317,                 1.0603,                0.19936,                0.22336,                0.17875,                0.09616,                 1.8862,                 1.4988,                 1.0566,               0.005149,               0.005149,               0.005149
                     52,                 1.9073,                 1.4425,                  1.071,                 0.3356,                0.19252,                 0.1714,                0.09174,                 1.9466,                 1.4466,                 1.0667,                0.00505,                0.00505,                0.00505
