                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8763,                  4.649,                 1.2389,                0.02857,                0.01174,                0.01634,                0.00422,                 2.1435,                 4.2575,                 1.0683,                 0.0973,                 0.0003,                 0.0003
                      2,                 2.2744,                 4.1182,                 1.1456,                0.00264,                0.02715,                0.00258,                 0.0006,                 3.3889,                 4.2148,                 1.6231,               0.093693,             0.00069307,             0.00069307
                      3,                 2.3677,                 2.8894,                 1.1797,                0.00977,                  0.098,                0.03438,                0.01194,                 2.6483,                 3.2683,                 1.2844,               0.090078,              0.0010782,              0.0010782
                      4,                 2.3636,                 2.3449,                 1.1682,                0.21257,                0.03366,                0.03175,                0.01156,                 2.7642,                 2.8556,                 1.5205,               0.086455,              0.0014555,              0.0014555
                      5,                 2.3745,                 2.2485,                 1.2073,                0.04968,                0.11747,                0.06421,                0.02736,                 2.5876,                 2.8668,                  1.545,               0.082825,              0.0018248,              0.0018248
                      6,                 2.1543,                 2.0163,                 1.1541,                0.28992,                0.10936,                0.07251,                0.03318,                 2.2869,                 2.4469,                 1.3914,               0.079186,              0.0021861,              0.0021861
                      7,                 2.0147,                 2.0045,                 1.1417,                0.27281,                0.10496,                0.03503,                0.01183,                 2.3102,                 3.5766,                   1.47,                0.07554,              0.0025396,              0.0025396
                      8,                 2.2894,                 2.1077,                 1.1681,                 0.0188,                0.05797,                0.01121,                0.00366,                 2.9046,                 21.447,                 2.1367,               0.071885,              0.0028852,              0.0028852
                      9,                  2.234,                 1.9793,                 1.2005,                0.03444,                 0.0293,                0.01807,                0.00641,                 3.3518,                    inf,                  4.263,               0.068223,              0.0032228,              0.0032228
                     10,                 2.0798,                 1.8699,                 1.1819,                0.01211,                0.05496,                 0.0072,                0.00295,                 2.8235,                    inf,                 2.9168,               0.064553,              0.0035525,              0.0035525
                     11,                 2.1425,                 1.8944,                 1.1776,                0.01627,                0.04047,                 0.0097,                0.00394,                 3.1515,                    inf,                 2.3747,               0.060874,              0.0038743,              0.0038743
                     12,                 2.1495,                 1.9696,                 1.1859,                0.02011,                0.03956,                0.01191,                0.00424,                  2.865,                    inf,                 1.9781,               0.057188,              0.0041882,              0.0041882
                     13,                 2.2286,                 1.8219,                 1.1625,                0.00911,                0.04402,                0.00606,                0.00216,                 3.5164,                 26.828,                 2.7444,               0.053494,              0.0044941,              0.0044941
                     14,                 2.1617,                 1.8088,                 1.1606,                0.01594,                0.04118,                0.01028,                0.00358,                  3.257,                    inf,                 2.1727,               0.049792,              0.0047922,              0.0047922
                     15,                 2.1805,                 1.8629,                 1.1875,                0.02073,                0.05216,                0.01271,                0.00456,                 3.1995,                 8.5746,                 1.8385,               0.046082,              0.0050823,              0.0050823
                     16,                 2.1101,                 1.8035,                 1.1672,                0.03113,                0.10868,                0.02581,                0.01065,                  2.789,                 5.3433,                 1.8242,               0.042364,              0.0053644,              0.0053644
                     17,                 2.1522,                 1.8382,                 1.2101,                0.02765,                0.10389,                0.01946,                0.01053,                 2.7522,                 16.713,                 1.8762,               0.038639,              0.0056387,              0.0056387
                     18,                 2.2197,                 1.8252,                 1.1706,                0.07103,                0.11791,                0.05782,                0.02785,                 2.5183,                 3.6477,                 1.6191,               0.034905,              0.0059051,              0.0059051
                     19,                 2.1545,                 1.7686,                 1.1735,                0.33979,                0.12588,                0.06676,                0.03089,                 2.3665,                 2.5962,                 1.4498,               0.031163,              0.0061635,              0.0061635
                     20,                 2.0841,                 1.6955,                 1.1679,                0.20212,                 0.1395,                0.06059,                0.02683,                  2.274,                 3.2745,                 1.3715,               0.027414,               0.006414,               0.006414
                     21,                 2.3158,                 1.7889,                 1.1333,                 0.0849,                0.09704,                 0.0573,                0.02474,                 2.5013,                 3.3716,                 1.3382,               0.023657,              0.0066566,              0.0066566
                     22,                  2.471,                 1.9563,                 1.2146,                0.21266,                0.08971,                0.05244,                0.02354,                 2.5188,                 3.6546,                 1.3595,               0.019891,              0.0068913,              0.0068913
                     23,                 2.3755,                 1.8268,                 1.1689,                0.20276,                0.08603,                0.04493,                0.02166,                 2.3695,                 4.1059,                 1.3633,               0.016118,               0.007118,               0.007118
                     24,                 2.1524,                 1.7828,                 1.1886,                 0.1826,                0.08868,                0.04952,                0.02053,                 2.3515,                 4.6714,                 1.3537,               0.012337,              0.0073369,              0.0073369
                     25,                 2.2483,                 1.7334,                 1.1743,                0.46452,                0.06334,                0.05617,                0.02325,                 2.2814,                 4.0112,                 1.2578,              0.0085478,              0.0075478,              0.0075478
                     26,                 2.1277,                 1.7579,                  1.188,                0.06924,                0.14937,                0.05742,                0.02542,                 2.1937,                 3.6832,                 1.2101,               0.007525,               0.007525,               0.007525
                     27,                 2.0954,                 1.7467,                 1.1672,                0.22718,                0.15755,                0.07473,                0.03342,                 2.1847,                  2.687,                 1.1908,               0.007525,               0.007525,               0.007525
                     28,                  1.971,                 1.6302,                 1.1245,                 0.2146,                0.14458,                0.07398,                0.03166,                 2.1852,                 2.6061,                 1.1865,               0.007426,               0.007426,               0.007426
                     29,                 2.1067,                 1.6936,                 1.1524,                0.06908,                0.26649,                0.07953,                0.03267,                 2.1412,                 4.3203,                 1.2103,               0.007327,               0.007327,               0.007327
                     30,                 2.1321,                 1.7225,                 1.1418,                0.11736,                0.20059,                0.08665,                0.03398,                 2.2726,                 9.6771,                 1.2815,               0.007228,               0.007228,               0.007228
                     31,                 1.9769,                 1.5774,                 1.1442,                0.05775,                0.23032,                0.04952,                 0.0209,                 2.2407,                 6.5583,                 1.2724,               0.007129,               0.007129,               0.007129
                     32,                 2.1028,                 1.6425,                 1.1633,                0.05812,                0.17886,                0.04743,                0.01933,                 2.1894,                 4.5362,                 1.2231,                0.00703,                0.00703,                0.00703
                     33,                 2.1048,                 1.6715,                 1.1417,                0.06396,                0.17832,                0.05974,                0.02516,                  2.236,                 3.3838,                 1.2268,               0.006931,               0.006931,               0.006931
                     34,                 2.0552,                  1.632,                 1.1541,                0.20336,                0.17252,                0.08687,                0.04047,                 2.1328,                 2.2294,                 1.1832,               0.006832,               0.006832,               0.006832
                     35,                 1.9871,                 1.6346,                 1.1546,                0.09665,                0.20801,                0.11813,                 0.0573,                 2.0255,                 1.8298,                 1.1538,               0.006733,               0.006733,               0.006733
                     36,                 1.9997,                 1.5448,                 1.1288,                0.34039,                0.19452,                0.12179,                0.05999,                  2.061,                 1.8277,                 1.1627,               0.006634,               0.006634,               0.006634
                     37,                 2.0438,                 1.5853,                 1.1357,                0.33226,                0.18491,                0.12641,                 0.0628,                 2.0862,                 1.7882,                 1.1683,               0.006535,               0.006535,               0.006535
                     38,                 1.9443,                 1.5367,                 1.1105,                0.39139,                0.16729,                0.14773,                0.07498,                  2.012,                 1.6671,                 1.1468,               0.006436,               0.006436,               0.006436
                     39,                 1.8514,                 1.4681,                 1.1089,                0.52661,                0.17258,                0.16088,                0.08106,                 1.9849,                 1.6695,                 1.1432,               0.006337,               0.006337,               0.006337
                     40,                 1.9957,                 1.5859,                 1.1594,                0.40242,                0.17888,                0.16619,                0.08334,                 1.9617,                 1.6928,                 1.1225,               0.006238,               0.006238,               0.006238
                     41,                 1.9327,                 1.4992,                 1.1083,                0.50303,                0.17272,                0.15468,                0.07681,                 2.0228,                 1.7172,                 1.1211,               0.006139,               0.006139,               0.006139
                     42,                 2.0404,                 1.5446,                 1.1123,                0.51662,                0.15775,                0.14191,                0.07213,                 2.1291,                 1.7275,                 1.1423,                0.00604,                0.00604,                0.00604
                     43,                 1.9552,                    1.5,                 1.0839,                0.52577,                0.17729,                0.15586,                0.07821,                 2.0396,                 1.8256,                 1.1201,               0.005941,               0.005941,               0.005941
                     44,                 1.9516,                 1.4929,                 1.0901,                0.28783,                0.26042,                0.15315,                0.07523,                 1.9923,                 2.0558,                 1.1034,               0.005842,               0.005842,               0.005842
                     45,                 1.8854,                 1.5218,                 1.1044,                0.27708,                0.23256,                0.15509,                0.08064,                 1.9499,                 1.8352,                 1.0846,               0.005743,               0.005743,               0.005743
                     46,                 1.8397,                 1.4728,                 1.1198,                 0.4656,                0.18955,                0.15854,                0.08573,                 1.9425,                 1.6152,                 1.0732,               0.005644,               0.005644,               0.005644
                     47,                 1.8219,                 1.4378,                 1.0767,                0.58503,                0.16594,                 0.1848,                0.10519,                 1.9101,                 1.5652,                 1.0705,               0.005545,               0.005545,               0.005545
                     48,                 1.8804,                 1.4439,                 1.0772,                0.54616,                0.16757,                0.18458,                0.10425,                 1.8899,                 1.5592,                 1.0737,               0.005446,               0.005446,               0.005446
                     49,                   1.85,                  1.442,                 1.0742,                0.29587,                0.24417,                0.19439,                0.10385,                 1.8429,                 1.5646,                 1.0629,               0.005347,               0.005347,               0.005347
                     50,                 1.8311,                 1.4942,                 1.0833,                0.33432,                0.23886,                0.22941,                0.11504,                 1.8216,                 1.5711,                 1.0571,               0.005248,               0.005248,               0.005248
                     51,                  1.912,                 1.4274,                 1.0649,                0.37925,                0.23314,                0.22783,                0.12197,                 1.8625,                 1.5498,                 1.0579,               0.005149,               0.005149,               0.005149
                     52,                  1.935,                 1.4455,                 1.0819,                0.35626,                0.22978,                0.20754,                0.10812,                 1.9063,                 1.5265,                 1.0669,                0.00505,                0.00505,                0.00505
                     53,                 1.8725,                 1.4276,                  1.051,                0.36598,                0.24509,                0.22022,                0.11775,                 1.8335,                 1.5081,                 1.0544,               0.004951,               0.004951,               0.004951
                     54,                 1.9187,                 1.4631,                 1.1091,                0.51401,                0.25164,                0.23919,                0.12975,                 1.7473,                 1.4488,                 1.0376,               0.004852,               0.004852,               0.004852
                     55,                 1.8602,                 1.4497,                 1.0795,                 0.4792,                0.25231,                0.23073,                0.12886,                 1.7239,                 1.4148,                 1.0333,               0.004753,               0.004753,               0.004753
                     56,                 1.8209,                 1.4025,                 1.0763,                0.40835,                 0.2614,                0.21875,                0.12447,                 1.7925,                 1.4359,                 1.0442,               0.004654,               0.004654,               0.004654
                     57,                  1.799,                 1.3845,                 1.0655,                0.37333,                0.25408,                0.21174,                0.11905,                 1.9468,                 1.5049,                 1.0675,               0.004555,               0.004555,               0.004555
                     58,                 1.8185,                 1.3513,                 1.0475,                0.26236,                0.22692,                 0.1951,                0.10766,                 1.9435,                 1.5283,                 1.0653,               0.004456,               0.004456,               0.004456
                     59,                  1.831,                  1.415,                 1.0622,                0.27933,                0.25087,                0.21141,                0.11961,                 1.8075,                 1.4893,                 1.0411,               0.004357,               0.004357,               0.004357
                     60,                 1.8691,                 1.4216,                 1.0529,                0.22316,                0.26008,                0.21891,                0.12201,                 1.7413,                 1.3853,                 1.0285,               0.004258,               0.004258,               0.004258
                     61,                 1.8801,                 1.4229,                 1.0552,                 0.4163,                0.23084,                0.21811,                0.12872,                 1.7458,                 1.3493,                 1.0287,               0.004159,               0.004159,               0.004159
                     62,                 1.6881,                 1.3673,                 1.0603,                0.34477,                0.27082,                0.24358,                0.13711,                 1.7183,                 1.3087,                 1.0181,                0.00406,                0.00406,                0.00406
                     63,                 1.7193,                 1.3097,                 1.0333,                0.39239,                0.24571,                0.25271,                0.14185,                 1.7119,                 1.3038,                 1.0155,               0.003961,               0.003961,               0.003961
