                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5309,                 4.5435,                  1.076,                0.04813,                0.19842,                0.03439,                0.01874,                 1.4962,                 4.0765,                0.97613,                 0.0973,                 0.0003,                 0.0003
                      2,                 2.2087,                 13.294,                 1.1843,                0.12033,                0.05239,                0.00589,                0.00271,                 2.9072,                    inf,                 1.4784,               0.093693,             0.00069307,             0.00069307
                      3,                 3.1086,                 13.974,                 1.6431,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.090078,              0.0010782,              0.0010782
                      4,                 3.6997,                  4.031,                 1.8618,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.086455,              0.0014555,              0.0014555
                      5,                 3.6708,                 3.2945,                 1.7176,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.082825,              0.0018248,              0.0018248
                      6,                 3.4652,                 3.1848,                 1.6738,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.079186,              0.0021861,              0.0021861
                      7,                 3.3715,                 3.1795,                 1.7433,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,                0.07554,              0.0025396,              0.0025396
                      8,                 3.5246,                 3.1784,                 1.7255,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.071885,              0.0028852,              0.0028852
                      9,                 3.3556,                 2.8874,                 1.6604,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.068223,              0.0032228,              0.0032228
                     10,                 3.2567,                 2.8802,                 1.6925,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.064553,              0.0035525,              0.0035525
                     11,                 3.2754,                 2.8427,                 1.6214,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.060874,              0.0038743,              0.0038743
                     12,                 3.1617,                 2.8254,                  1.585,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.057188,              0.0041882,              0.0041882
                     13,                 3.1582,                 2.6049,                 1.5481,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.053494,              0.0044941,              0.0044941
                     14,                 3.1013,                 2.5933,                 1.5269,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.049792,              0.0047922,              0.0047922
                     15,                  3.051,                  2.615,                 1.5127,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.046082,              0.0050823,              0.0050823
                     16,                  2.987,                 2.5677,                  1.552,                0.12033,                0.05239,                0.00589,                0.00271,                    nan,                    nan,                    nan,               0.042364,              0.0053644,              0.0053644
