                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8763,                  4.649,                 1.2389,                0.00167,                0.03911,                0.00169,                0.00106,                 1.7357,                 4.4554,                 1.0462,                 0.0973,                 0.0003,                 0.0003
                      2,                 2.0614,                 4.6296,                 1.2038,                0.00188,                0.04834,                0.00189,                0.00107,                 1.7366,                 4.4207,                 1.0308,               0.093693,             0.00069307,             0.00069307
                      3,                 1.8981,                 4.4913,                 1.1359,                0.00245,                0.05971,                0.00221,                0.00129,                  1.814,                 4.3275,                 1.0235,               0.090078,              0.0010782,              0.0010782
                      4,                  2.048,                 4.2088,                 1.1002,                0.00221,                0.04471,                0.00222,                0.00132,                 1.8321,                 4.2281,                 1.0278,               0.086455,              0.0014555,              0.0014555
                      5,                 2.0926,                 3.9117,                 1.0976,                0.00236,                0.04313,                0.00265,                0.00157,                 1.8601,                 4.1505,                  1.039,               0.082825,              0.0018248,              0.0018248
                      6,                 1.9898,                 3.5737,                 1.0593,                0.01296,                0.03756,                 0.0203,                0.00841,                 1.8763,                 4.0114,                  1.048,               0.079186,              0.0021861,              0.0021861
                      7,                 1.8958,                 3.2594,                 1.0477,                0.01734,                0.06727,                0.03206,                0.01392,                 1.8642,                 3.9013,                 1.0379,                0.07554,              0.0025396,              0.0025396
                      8,                 2.0639,                 3.1162,                 1.0803,                0.02165,                0.15104,                0.06662,                0.03315,                 1.9159,                 3.6242,                 1.0575,               0.071885,              0.0028852,              0.0028852
                      9,                 2.0512,                 2.7563,                 1.0692,                0.02183,                 0.1511,                0.07424,                0.03436,                 1.9417,                 3.4558,                 1.0486,               0.068223,              0.0032228,              0.0032228
                     10,                 1.9681,                 2.5738,                 1.0637,                0.83409,                0.11947,                0.07669,                0.03638,                 1.9024,                 3.1545,                 1.0613,               0.064553,              0.0035525,              0.0035525
                     11,                 2.0227,                 2.5385,                 1.0787,                0.94733,                0.05642,                0.09768,                0.05136,                 1.8889,                 2.9252,                 1.0633,               0.060874,              0.0038743,              0.0038743
